provider,url,postcode,plan_name,speed_mbps,monthly_price_gbp,upfront_fee_gbp,contract_months,scraped_at,card_text_sample,row_id
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Fibre 65 From £26.00 a month. Increasing to £29.00 from,80,26.0,,24.0,2025-10-17 16:24:36+00:00,"Fibre 65 From £26.00 a month. Increasing to £29.00 from April 2026 then to £32.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. You’ll need to sign a new contra…",ef9a0386c859
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 150 From £25.00 a month. Increasing to £28.00 fro,35,25.0,,24.0,2025-10-17 16:24:36+00:00,"Full Fibre 150 From £25.00 a month. Increasing to £28.00 from April 2026 then to £31.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 150 requires in…",70535a9f3374
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,"Full Fibre 500 No setup fee. Latest offer £30.00 a month, In",35,30.0,30.0,24.0,2025-10-17 16:24:36+00:00,"Full Fibre 500 No setup fee. Latest offer £30.00 a month, Increasing to £33.00 from April 2026 then to £36.00 in April 2027, on a 24 month contract. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 500 requires …",3ffe8c26749c
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Fast Broadband £29.95 a month. Increasing to £32.95 fr,11,29.95,,24.0,2025-10-17 16:24:36+00:00,"Fast Broadband £29.95 a month. Increasing to £32.95 from April 2026 then to £35.95 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. This plan includes broadband wi…",622e70293f4b
vodafone.co.uk,https://www.vodafone.co.uk/broadband,TW8 0FD,"eds of up to 2.2 Gbps on Pro 3 Broadband Ultra-reliable, ultra-fast full fibre",2200,200.0,,,2025-10-17 16:24:36+00:00,Win a £200 gift card when you share your broadband contract end date We’re giving away 10 gift cards worth £200 each to spend at your choice of 200 retailers. Prize draw ends 25 October 2025. Terms apply. Register to win Speeds of up to 2.2…,b7fe03f23be7
vodafone.co.uk,https://www.vodafone.co.uk/broadband,TW8 0FD,My Vodafone app Vodafone Full Fibre Broadband Enjoy faster speeds and a more rel,5000,4.0,,,2025-10-17 16:24:36+00:00,"Just Ask Once One person handles your query from start to finish, with updates until it’s sorted. Convenient messaging anytime, all in the My Vodafone app. Download the My Vodafone app Vodafone Full Fibre Broadband Enjoy faster speeds and a…",a7d11d67b92d
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,rea. All plans shown use full fibre technology or part fibre technology Broadban,900,26.99,,24.0,2025-10-17 16:24:36+00:00,EE Broadband deals We’ve got speeds to suit every household. Here are just some of our broadband deals. Enter your postcode to find out what speeds are available in your area. All plans shown use full fibre technology or part fibre technolo…,a679fed4f124
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,"For browsing, sharing and emails",74,26.99,,,2025-10-17 16:24:36+00:00,"For browsing, sharing and emails 74Mbps download speed 20Mbps upload speed 37Mbps Speed Guarantee Great for streaming, browsing and social media Smart Hub Plus router £26.99 £ 26 . 99 a month £0 £ 0 one-off £30.99 from 31 March 2026 £34.99 …",f21810eb1676
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,Connect hundreds of devices,900,37.99,,,2025-10-17 16:24:36+00:00,"Connect hundreds of devices 900Mbps download speed 110Mbps upload speed 700Mbps Speed Guarantee Excellent for working from home, gaming and streaming in 4K without buffering or lag Great for busy households with multiple devices £37.99 £ 37…",0f4e17032395
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,"Flawless streaming, seamless gaming",500,34.99,,,2025-10-17 16:24:36+00:00,"Flawless streaming, seamless gaming 500Mbps download speed 73Mbps upload speed 425Mbps Speed Guarantee Enjoy gaming, streaming and working from home without buffering or lag Smart Hub Plus router £34.99 £ 34 . 99 a month £0 £ 0 one-off £38.…",89d252025792
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,Perfect for working from home,150,28.99,,,2025-10-17 16:24:36+00:00,"Perfect for working from home 150Mbps download speed 30Mbps upload speed 100Mbps Speed Guarantee Great for streaming TV and movies in 4K, online gaming and working from home Smart Hub Plus router £28.99 £ 28 . 99 a month £0 £ 0 one-off £32.…",d615fcdc153e
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,availability Unbreakable Full Fibre broadband 150Mbps Broadband with Smart WiFi ,150,100.0,,24.0,2025-10-17 16:24:36+00:00,Check availability Unbreakable Full Fibre broadband 150Mbps Broadband with Smart WiFi Plus 24 month contract 30Mbps upload speed 100Mbps Speed Guarantee Full Fibre broadband Exclusive mobile benefits Smart Hub Plus Smart WiFi Plus Seamless …,fcb700d56904
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,67,27.99,,24.0,2025-10-17 16:24:36+00:00,Stay connected. Stay entertained. 67Mbps Broadband with Entertainment TV 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Entertainment TV EE TV Box mini NOW Entertainment…,d0baa6815396
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,67,100.0,,24.0,2025-10-17 16:24:36+00:00,Reliable broadband 67Mbps Broadband with Smart WiFi Plus 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Smart WiFi Plus Seamless connection in every room or £100 back £3…,31d40bc2c246
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,Ultrafast broadband. Unmissable TV. 150Mbps Broadband with,150,29.99,,24.0,2025-10-17 16:24:36+00:00,Ultrafast broadband. Unmissable TV. 150Mbps Broadband with Entertainment TV 24 month contract 30Mbps upload speed 100Mbps Speed Guarantee Full Fibre broadband Exclusive mobile benefits Smart Hub Plus Entertainment TV EE TV Box Pro NOW Enter…,b151c619ec48
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,wnload speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broad,300,23.0,0.0,,2025-10-17 16:24:36+00:00,Average download speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broadband technology 75 Mb/s estimated download speed and 16 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back Ava…,a6cf8c84ae8c
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,wnload speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broad,75,23.0,0.0,,2025-10-17 16:24:36+00:00,Average download speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broadband technology 75 Mb/s estimated download speed and 16 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back Ava…,547be2293dc7
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,nload speed 100 Mb/S NOW Full Fibre 100 Full Fibre - The UK's most reliable broa,100,25.0,0.0,,2025-10-17 16:24:36+00:00,Average download speed 100 Mb/S NOW Full Fibre 100 Full Fibre - The UK's most reliable broadband technology 100 Mb/s estimated download speed and 18 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back …,5a6ac0000983
bt.com,https://www.bt.com/broadband,TW8 0FD,BT Broadband Get 150Mbps Full Fibre Broadband for just £28.99 a month Monthly pr,150,28.99,,,2025-10-17 16:24:36+00:00,"BT Broadband Get 150Mbps Full Fibre Broadband for just £28.99 a month Monthly price increases to £32.99 from 31 March 2026, then £36.99 from 31 March 2027. No upfront cost. 24-month contract. New to BT? Already with us? Check your availabil…",a79d5a30d2a4
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,nload speed 300 Mb/s NOW Full Fibre 300 Full Fibre - The UK's most reliable broa,300,31.0,0.0,,2025-10-10 14:33:01+00:00,Average download speed 300 Mb/s NOW Full Fibre 300 Full Fibre - The UK's most reliable broadband technology 300 Mb/s estimated download speed and 40 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back …,309af016050d
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 500 500 Mbps Great for streamers and busy homes C,500,31.95,31.95,24.0,2025-10-10 14:33:01+00:00,Full Fibre 500 500 Mbps Great for streamers and busy homes Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £31.95 £35 per month Increasing to £34.95 from Ap…,26c9268a5694
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,"Full Fibre 500 No setup fee. Latest offer £31.95 a month, In",35,31.95,31.95,24.0,2025-10-10 14:33:01+00:00,"Full Fibre 500 No setup fee. Latest offer £31.95 a month, Increasing to £34.95 from April 2026 then to £37.95 in April 2027, on a 24 month contract. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 500 requires …",9b13213382a4
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 900 From £38.00 a month. Increasing to £41.00 fro,35,38.0,,24.0,2025-10-10 14:33:01+00:00,"Full Fibre 900 From £38.00 a month. Increasing to £41.00 from April 2026 then to £44.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 900 requires in…",3849b4aee103
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,rea. All plans shown use full fibre technology or part fibre technology Broadban,900,27.99,,24.0,2025-10-10 14:33:01+00:00,EE Broadband deals We’ve got speeds to suit every household. Here are just some of our broadband deals. Enter your postcode to find out what speeds are available in your area. All plans shown use full fibre technology or part fibre technolo…,eada88438fe7
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,Perfect for working from home,150,27.99,,,2025-10-10 14:33:01+00:00,"Perfect for working from home 150Mbps download speed 30Mbps upload speed 100Mbps Speed Guarantee Great for streaming TV and movies in 4K, online gaming and working from home Smart Hub Plus router £27.99 £ 27 . 99 a month £0 £ 0 one-off £31.…",764558476f16
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,WiFi for the whole home,308,30.99,,,2025-10-10 14:33:01+00:00,"WiFi for the whole home 308Mbps download speed 51Mbps upload speed 150Mbps Speed Guarantee Excellent for streaming TV and movies in 4K, online gaming and working from home Smart Hub Plus router £30.99 £ 30 . 99 a month £0 £ 0 one-off £34.99…",b447bc9b1209
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,150,47.99,,24.0,2025-10-10 14:33:01+00:00,Check availability Stay connected. Stay entertained. 67Mbps Broadband with Entertainment TV 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Entertainment TV EE TV Box min…,c909b510e31c
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,67,47.99,,24.0,2025-10-10 14:33:01+00:00,Stay connected. Stay entertained. 67Mbps Broadband with Entertainment TV 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Entertainment TV EE TV Box mini NOW Entertainment…,686a6cbbe3ea
ee.co.uk,https://ee.co.uk/broadband,TW8 0FD,Unbreakable Full Fibre broadband 150Mbps Broadband with Smart WiFi Plus,150,100.0,,24.0,2025-10-10 14:33:01+00:00,Unbreakable Full Fibre broadband 150Mbps Broadband with Smart WiFi Plus 24 month contract 30Mbps upload speed 100Mbps Speed Guarantee Full Fibre broadband Exclusive mobile benefits Smart Hub Plus Smart WiFi Plus Seamless connection in every…,b866248cff36
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,wnload speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broad,300,24.0,0.0,,2025-10-10 14:33:01+00:00,Average download speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broadband technology 75 Mb/s estimated download speed and 16 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back Ava…,2581a117a424
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,wnload speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broad,75,24.0,0.0,,2025-10-10 14:33:01+00:00,Average download speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broadband technology 75 Mb/s estimated download speed and 16 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back Ava…,eef2bb705c39
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,nload speed 100 Mb/S NOW Full Fibre 100 Full Fibre - The UK's most reliable broa,100,26.0,0.0,,2025-10-10 14:33:01+00:00,Average download speed 100 Mb/S NOW Full Fibre 100 Full Fibre - The UK's most reliable broadband technology 100 Mb/s estimated download speed and 18 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back …,6e881bd9d4d8
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 900 900 Mbps Great for gamers and streaming in 4K,900,38.0,38.0,24.0,2025-10-10 14:33:01+00:00,Full Fibre 900 900 Mbps Great for gamers and streaming in 4K Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £38 per month Increasing to £41 from April 2026…,63c61698eaa0
nowtv.com,https://www.nowtv.com/broadband,TW80FD,nload speed 300 Mb/s NOW Full Fibre 300 Full Fibre - The UK's most reliable broa,300,31.0,0.0,,2025-10-08 20:48:41+00:00,Average download speed 300 Mb/s NOW Full Fibre 300 Full Fibre - The UK's most reliable broadband technology 300 Mb/s estimated download speed and 40 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back …,309af016050d
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,ue across all our plans. Full Fibre Great deals on our most reliable broadband e,65,25.0,,,2025-10-08 20:48:41+00:00,"Broadband Compare deals Deals built with you in mind, with great value across all our plans. Full Fibre Great deals on our most reliable broadband ever, starting from £25 a month. Online security Keeping you and your loved ones safe online …",2d59fe2c8df4
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Full Fibre 150 150 Mbps Great for working from home Connect,150,25.0,25.0,24.0,2025-10-08 20:48:41+00:00,Full Fibre 150 150 Mbps Great for working from home Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £25 £26 per month Increasing to £28 from April 2026 then…,01d3e70a36ac
bt.com,https://www.bt.com/broadband,TW80FD,"ever you throw at it New Full Fibre is rolling out across the nation, built on t",900,100.0,,,2025-10-08 20:48:41+00:00,"An ultra-reliable connection, whatever you throw at it New Full Fibre is rolling out across the nation, built on the UK’s most reliable broadband tech. It can connect over 100 devices, so you can be sure it’ll keep up with you. Now and in t…",38fb9a9b160e
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Full Fibre 500 500 Mbps Great for streamers and busy homes C,500,31.95,31.95,24.0,2025-10-08 20:48:41+00:00,Full Fibre 500 500 Mbps Great for streamers and busy homes Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £31.95 £35 per month Increasing to £34.95 from Ap…,26c9268a5694
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Full Fibre 900 900 Mbps Great for gamers and streaming in 4K,900,38.0,38.0,24.0,2025-10-08 20:48:41+00:00,Full Fibre 900 900 Mbps Great for gamers and streaming in 4K Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £38 per month Increasing to £41 from April 2026…,63c61698eaa0
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Full Fibre 65 65 Mbps Great for browsing Connect up to 15 de,65,26.0,26.0,24.0,2025-10-08 20:48:41+00:00,Full Fibre 65 65 Mbps Great for browsing Connect up to 15 devices Wi-Fi Hub included HomeSafe - built-in online security 24 month contract No setup fee from £26 £27 per month Increasing to £29 from April 2026 then to £32 in April 2027 Check…,8efcbb7bd315
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Fibre 35 35 Mbps Great for streaming music Ideal for 3-,35,26.0,26.0,24.0,2025-10-08 20:48:41+00:00,Fibre 35 35 Mbps Great for streaming music Ideal for 3-5 devices Wi-Fi Hub included HomeSafe - built-in online security 24 month contract No setup fee from £26 £28 per month Increasing to £29 from April 2026 then to £32 in April 2027 Check …,60c24d3ac53c
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Small Print (22 items) Fibre 35 From £26.00 a month. Increasing to £29.00 from,290,26.0,26.0,24.0,2025-10-08 20:48:41+00:00,"Small Print (22 items) Fibre 35 From £26.00 a month. Increasing to £29.00 from April 2026 then to £32.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. This plan…",adbbd3527a4f
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Fibre 65 From £26.00 a month. Increasing to £29.00 from,80,26.0,,24.0,2025-10-08 20:48:41+00:00,"Fibre 65 From £26.00 a month. Increasing to £29.00 from April 2026 then to £32.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. You’ll need to sign a new contra…",ef9a0386c859
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Full Fibre 150 From £25.00 a month. Increasing to £28.00 fro,35,25.0,,24.0,2025-10-08 20:48:41+00:00,"Full Fibre 150 From £25.00 a month. Increasing to £28.00 from April 2026 then to £31.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 150 requires in…",70535a9f3374
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,"Full Fibre 500 No setup fee. Latest offer £31.95 a month, In",35,31.95,31.95,24.0,2025-10-08 20:48:41+00:00,"Full Fibre 500 No setup fee. Latest offer £31.95 a month, Increasing to £34.95 from April 2026 then to £37.95 in April 2027, on a 24 month contract. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 500 requires …",9b13213382a4
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,Full Fibre 900 From £38.00 a month. Increasing to £41.00 fro,35,38.0,,24.0,2025-10-08 20:48:41+00:00,"Full Fibre 900 From £38.00 a month. Increasing to £41.00 from April 2026 then to £44.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. Full Fibre 900 requires in…",3849b4aee103
talktalk.co.uk,https://www.talktalk.co.uk/,TW80FD,-Fi depends on location. Properties outside eligible locations will not be abl,3,8.0,,,2025-10-08 20:48:41+00:00,Total Home Wi-Fi Eligibility for TalkTalk plans with Total Home Wi-Fi depends on location. Properties outside eligible locations will not be able to receive Total Home Wi-Fi. The Total Home Wi-Fi add-on is an upgrade available to all custom…,629df09ae164
ee.co.uk,https://ee.co.uk/broadband,TW80FD,rea. All plans shown use full fibre technology or part fibre technology Broadban,900,27.99,,24.0,2025-10-08 20:48:41+00:00,EE Broadband deals We’ve got speeds to suit every household. Here are just some of our broadband deals. Enter your postcode to find out what speeds are available in your area. All plans shown use full fibre technology or part fibre technolo…,eada88438fe7
ee.co.uk,https://ee.co.uk/broadband,TW80FD,Perfect for working from home,150,27.99,,,2025-10-08 20:48:41+00:00,"Perfect for working from home 150Mbps download speed 30Mbps upload speed 100Mbps Speed Guarantee Great for streaming TV and movies in 4K, online gaming and working from home Smart Hub Plus router £27.99 £ 27 . 99 a month £0 £ 0 one-off £31.…",764558476f16
ee.co.uk,https://ee.co.uk/broadband,TW80FD,WiFi for the whole home,308,30.99,,,2025-10-08 20:48:41+00:00,"WiFi for the whole home 308Mbps download speed 51Mbps upload speed 150Mbps Speed Guarantee Excellent for streaming TV and movies in 4K, online gaming and working from home Smart Hub Plus router £30.99 £ 30 . 99 a month £0 £ 0 one-off £34.99…",b447bc9b1209
ee.co.uk,https://ee.co.uk/broadband,TW80FD,"Flawless streaming, seamless gaming",500,34.99,,,2025-10-08 20:48:41+00:00,"Flawless streaming, seamless gaming 500Mbps download speed 73Mbps upload speed 425Mbps Speed Guarantee Enjoy gaming, streaming and working from home without buffering or lag Smart Hub Plus router £34.99 £ 34 . 99 a month £0 £ 0 one-off £38.…",89d252025792
ee.co.uk,https://ee.co.uk/broadband,TW80FD,Connect hundreds of devices,900,37.99,,,2025-10-08 20:48:41+00:00,"Connect hundreds of devices 900Mbps download speed 110Mbps upload speed 700Mbps Speed Guarantee Excellent for working from home, gaming and streaming in 4K without buffering or lag Great for busy households with multiple devices £37.99 £ 37…",0f4e17032395
ee.co.uk,https://ee.co.uk/broadband,TW80FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,150,47.99,,24.0,2025-10-08 20:48:41+00:00,Check availability Stay connected. Stay entertained. 67Mbps Broadband with Entertainment TV 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Entertainment TV EE TV Box min…,c909b510e31c
ee.co.uk,https://ee.co.uk/broadband,TW80FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,67,47.99,,24.0,2025-10-08 20:48:41+00:00,Stay connected. Stay entertained. 67Mbps Broadband with Entertainment TV 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Entertainment TV EE TV Box mini NOW Entertainment…,686a6cbbe3ea
ee.co.uk,https://ee.co.uk/broadband,TW80FD,d 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plu,67,100.0,,24.0,2025-10-08 20:48:41+00:00,Reliable broadband 67Mbps Broadband with Smart WiFi Plus 24 month contract 19Mbps upload speed 37Mbps Speed Guarantee Fibre broadband Exclusive mobile benefits Smart Hub Plus Smart WiFi Plus Seamless connection in every room or £100 back £3…,31d40bc2c246
ee.co.uk,https://ee.co.uk/broadband,TW80FD,Unbreakable Full Fibre broadband 150Mbps Broadband with Smart WiFi Plus,150,100.0,,24.0,2025-10-08 20:48:41+00:00,Unbreakable Full Fibre broadband 150Mbps Broadband with Smart WiFi Plus 24 month contract 30Mbps upload speed 100Mbps Speed Guarantee Full Fibre broadband Exclusive mobile benefits Smart Hub Plus Smart WiFi Plus Seamless connection in every…,b866248cff36
nowtv.com,https://www.nowtv.com/broadband,TW80FD,wnload speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broad,300,24.0,0.0,,2025-10-08 20:48:41+00:00,Average download speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broadband technology 75 Mb/s estimated download speed and 16 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back Ava…,2581a117a424
nowtv.com,https://www.nowtv.com/broadband,TW80FD,wnload speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broad,75,24.0,0.0,,2025-10-08 20:48:41+00:00,Average download speed 75 Mb/S NOW Full Fibre 75 Full Fibre - The UK's most reliable broadband technology 75 Mb/s estimated download speed and 16 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back Ava…,eef2bb705c39
